soort,varieteit,voorzaai datum,plant datum,direct gezaaid?,hoeveel meter?,plant aantal,oogst maand,productie,hoeveel mee genomen?,bron,waarom mislukt?,opmerkingen
aardappel,annabelle,,15/3/2022,,22,,8,,,,,
aardappel,truffel,,15/3/2022,,22,,9,,,,,
aardappel,alouette,,14/3/2022,,14,,7,,,,,
aardappelfrieslander,,,14/3/2022,,14,,7,,,,,
aardpeer,,,25/3/2022,,6,,,,,,,
aardpeer,,,25/3/2022,,6,,,,,,,
andijvie,,,25/7,,14,140.0,9,,,jongerius,,"droote, slakken"
andijvie,,13/3/2022,2/5/2022,,14,60.0,6,goed,2/3,,,
andijvie,,,?,,,,,,,,,
andijvie,krul,,28-06-2022,,14,140.0,8,goed,40,jongerius,,drie rijen -geen onkruid
andijvie,,,28/6/2022,,14,140.0,8,goed,40,jongerius,,drie rijen- geen onkruid
aubergine,,,25/6/2022,,6,15.0,9,,,,,opkweek patrick
bindsla,,,12/5/2022,,14,50.0,6,goed,1/2,,,"rij tussen de stokken,teveel sla in juni"
bindsla,,,12/5/2020,,14,50.0,6,goed,1/2,,,"rij tussen de stokken,teveel sla in juni"
bladmosterd,,,,2/9/2022,"3,5",,,,,,,
blauwschokkers,,,,8/3/2022,,,7,,,,,
blauwschokkers,,,,21/3/2022,14,,6,,,,,
bloemenmix,,,,15/5/2022,14,,,,,,,
bloemkool,,,13/5/2022,,,,,,,,,
boerenkool,groene,25/6/2022,6/8/,,7,50.0,,n goed,,,,"te lang in perspot, uitgeplant in hittegolf"
boerenkool,,,13/8/2022,,12,100.0,,,,jongerius,,"aardvlo hittegolf, heel klein"
boomspinazie,,,,19/4/2022,5,,6,,,,,te veel/ decoratief rondom vijver
bosui wit,,,,12/4/2022,,,8,goed,alles,,,
bosuirood,barbarakruid,,,12/4/2022,14,,9,goed,alles,,,
brocoli,,12/ 4/2022,14/6/2022,,,,,,,,,
brocoli,,,25/7/2022,,28,140.0,,,,jongerius,,slakken
bushbone,,13-06-2022,,ja,7,,8,goed,alles,,,witte stamboon- matig lekker
chinese kool,,,11/5/2022,,14,80.0,7,goed,1/2,jongerius,,
choggia,,,,12/5/2022,7,,9,,alles,,,langzaam
choggiabiet,,,,14/6/2022,4,,9,goed,alles,,,handmatig gezaaid
choggiabiet,,13-06-2022,,ja,"3,5",,9,goed,alles,,,op rij handgezaaid
choggiabiet,,,,13/6/2022,4,,9,goed,,,,
courgette,genovise,23-03-2022,25-05-2022,nee,14,14.0,6 t/m 10,goed,alles,binger,,zemelen en schapenvacht
courgette,ramenescu,23/3/0202,30/5/2022,nee,14,14.0,6 t/m 10,goed,alles,binger,,a+b+c 10-5 in grote pot met
courgette,crooknel,23-03-2022,30/5/2022,nee,14,14.0,6 t/m 10,goed,alles,binger,,compost+ bemeste tuinaarde
daikon,,,,2/9/2022,"3,5",,,,,,, 
daikon,,,,4/5/2022,7,,,niet,,,,
daikon,,,,14/4/2022,4,,,geen,,,,geen kieming. zaaimachine
daikon,,,,22/8/2022,3.0,,,,,,,
golden ball,,,,20/6/2022,"4,5",,9,goed,alles,,,rijen handmatig
goudsbloemen,,,,25/4/2022,,,,goed,,,,
groenlof,,,14/6,,9,20.0,8,goed,matig,jongerius,,rest jongerius te bitter
knoflook,,,1/11/2023,,9,,6,goed,alles,,,te weinig
kolen,mix,,10/9/2022,,9.0,30.0,,,,,,rest kolen 
koolrabi,,,,22/4/2022,2,,8,,,,,langzaam
kropsla,ijskoningin,,,,,,,,,,,
kropsla,jackice/Blonde,18/2/2022,5/4/2022,,9,60.0,5,goed,alles,,,wintersla
kropsla,jackice/Blonde,,,,14,60.0,5,matig,30,,,slakkenvraat
kropsla,ijskoningin,,,,,,,,,,,
meiraap,,,,13/3/2022,2,,6,matig,,,,"kou, droogte"
meiraap,,,,13/3/2022,"4,5",,6,slecht,matig,,,"aardvlo, kou,droog,  geen groei"
mizuna,,,2/9/2022,,3.0,,,,,,,
mosterdbla,,,,19/4/2022,3,,5,goed,,,,handmatig
nz spinazie,,,,19/4/2022,4,,8,goed,,,,
nz spinazie,,,,25/4/2022,,,6,goed,,,,
paksoi,,,28/6/2022,,14,140.0,8,goed,40,jongerius,,drie rijen- geen onkruid
paksoi,,,12/8/2022,,9,120.0,,,,,,
paksoi,,,12/5/2022,,14,140.0,6,goed,2/3,jongerius,,
palmkool,,,6/8/2022,,,,,,,,,jongerius later erbij geplant
palmkool,,,12/8/22,,14,80.0,,,,,,aardvlo hittegolf
palmkool,,,6/8/2022,,3,,,,,,,naplant met jongerius palmkool
pastinaak,,,,26/09/22,,,,,,,,Breedwerpig
pastinaak,,,,13/6/2022,7,,10,matig,,,,"nazaai, naast pastinaken."
pastinaak,,,,26/09/22,7,,,,,,,
pastinaak,,,,26/09/2022,,,,,,,,
pastinaak,,,,1/4/2022,,,,,,,,
peulen,,,,8/3/2022,,,6,,,,,
peulen,,,,23/3/2022,21,,6,,,,,
physalis,,27/3/2022,14/6,,9,10.0,9,goed,matig,,,overhouden in kas
plantui,,,,13/4/2022,9,,6,goed,goed,,,te weinig
pompoen,Tinie Langevel,,30/5/2022,,14,,10,matig,alles,Tinie/anette,,
pompoen,musqut/nuges,23/3/2022,30/5/2022,,14,,10,goed,alles,,,
pompoen,winterpompoe,23/3/2022,30/5/2022,,14,,10,goed,alles,,,"drie flespompoen Anette, "
prei,,16/3/2022,2/5/2022,,6,,9,goed,alles,,,twee x verpot naar grote bak
prei,,,10/8/2022,,14,,,,,,,uitplant voorzaaibed in klei
prei,,,5/6/2022,,,,,,,,,
prei,,,,!,,,8,goed,alles,jongerius,,slakken
pronkboon,,,,28/8/2022,2,,,,,,,
raapstelen,,,,13/3/2022,"4,5",,,slecht,matig,,,"aardvlo, kou, geen groei"
radicio,,,,12/5/2022,,30.0,6,,1/3,,,bitter
radijs,french breakfast,,,18/3/2022,,,,,,,,zaaimachine
radijs,,,,10/9/2022,,,,,,,,
radijs,,,,22/4/2022,2,,6,,,,,2 meter per keer is goed
radijs,,,,4/5/2022,3,,6,,,,,
radijs,,,,13/6/2022,3,,7,goed,,,,
radijs,mariken,,,18/3/2022,9,,5,goed,1/2,,,"langzame start, kou, aardvlo"
radijs,,,,3/5/2022,2,,6,goed,,,,
radijs,,,,2/5/2022,3,,,,,,,
radijs,,,,14/6/2022,4,,7,,alles,,,te weinig
ramenas,,,,2/5/2022,6,,,,,,,
reuzenspinazie,,,,20/9/2022,21,,,,,,,
reuzenspinazie,winter,,,2/9/2022,14,,,,,,,
rode biet,cylinder,,,12/4/2022,3,,9,,,,,
rode biet,,,,13/6/2022,4,,9,goed,,,,
rode biet,,13-06-2022,,ja,"3,5",,9,goed,alles,,,op rij handgezaaid
rode biet,,,,3/5/2022,6,,9,,alles,,,
rode biet cylinder,,,,11/5/2022,14,,10,goed,,,,
rode boerenkool,,,12/8/2022,,14,120.0,,,,,,aardvlo
rode boerenkool,,22/6/2022,6/8/2022,,9,50.0,,slecht,,,,"6 weken in perspot, vierweken in hittegolf, jongerius bijgeplant"
rode boerenkool,,,,27/08/22,9,,,,,,,breedwerpig- proef-bladoogst
rode kool,,,,,,,,,,,,
rode kool,,10/3/2022,20/5/2022,,12,40.0,6,matig,20,,,verpot 12/5/ in bemeste tuin
rode melde,,,,19/4/2022,5,,5,,,,,beter breedwerpig zaaien
rode spitskool,,,12/8/2022,,14,120.0,,,,,,aardvlo hittegolf
rodekool,,18/2/2022,30/4/2022,,14,40.0,7,goed,1/2,,,slakkenvraat
rucola,,,,13/4/2022,3,,,slecht,,,,geen groei
rucola,,,,2/5/2022,4,,6,,,,,
rucola/barbara,,,,2/9/2022,"3,5",,,,,,,
russische bladkool,,,,03/06/2022,4,,,,,,,
savooiekool,,,11/5/2022,,14,60.0,7,,1/3,,,slakken
schnittlauch,,,,13/6/2022,3,,,,,,,kruidentuin verplaatsen
schorseneren,,,,1/4/2022,,,,,,,,
selderij,,,?,,,,,,,,,
selderijsnij,,,11/5/2022,,14,70.0,7,goed,,jongerius,,
sla,,,,,,,,,,,,
